suburb,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_m2,floor_area_m2,year_built,sale_date,distance_to_cbd_km,agent_description,sale_price_aud,source_url
Parramatta,2150,Unit,4,4,2,176.0,189.0,2016,2023-11-22,26.2,"North-facing aspect, excellent light",917000,https://www.domain.com.au/example-parramatta-008
Parramatta,2150,House,4,3,0,546.0,126.0,1974,2023-04-05,25.3,"Premium location, walk to transport",1251000,https://www.domain.com.au/example-parramatta-009
Parramatta,2150,House,4,3,2,497.0,190.0,2009,2023-04-12,23.5,Architect designed with quality fixtures,1413000,https://www.domain.com.au/example-parramatta-010
Parramatta,2150,House,3,2,2,610.0,201.0,1990,2024-06-18,26.6,Charming character home,1433000,https://www.domain.com.au/example-parramatta-011
Parramatta,2150,House,5,5,1,363.0,122.0,1985,2023-03-05,24.8,Solid brick construction,1519000,https://www.domain.com.au/example-parramatta-012
Parramatta,2150,Townhouse,2,1,2,612.0,172.0,2015,2023-04-13,26.9,Charming character home,1305000,https://www.domain.com.au/example-parramatta-013
Parramatta,2150,Unit,3,3,0,156.0,118.0,2011,2023-12-16,25.7,"Premium location, walk to transport",888000,https://www.domain.com.au/example-parramatta-014
Parramatta,2150,House,4,3,1,483.0,166.0,1984,2023-01-09,26.7,Spacious living with natural light,1447000,https://www.domain.com.au/example-parramatta-015
Parramatta,2150,House,3,2,0,414.0,226.0,2013,2023-02-01,27.0,"Original condition, great potential",1248000,https://www.domain.com.au/example-parramatta-016
Parramatta,2150,Townhouse,4,4,2,312.0,136.0,2013,2023-11-28,26.1,Freshly painted and move-in ready,1365000,https://www.domain.com.au/example-parramatta-017
Parramatta,2150,Unit,3,2,2,81.0,108.0,1971,2024-08-22,26.2,"Quiet street, close to schools",550000,https://www.domain.com.au/example-parramatta-018
Parramatta,2150,Unit,2,2,2,191.0,216.0,2009,2024-09-10,26.4,Rare offering in tightly held street,773000,https://www.domain.com.au/example-parramatta-019
Parramatta,2150,House,4,3,1,552.0,228.0,2006,2023-11-25,25.9,Freshly painted and move-in ready,1483000,https://www.domain.com.au/example-parramatta-020
Parramatta,2150,House,2,1,1,545.0,108.0,2018,2023-02-21,23.2,"Quiet street, close to schools",1336000,https://www.domain.com.au/example-parramatta-021
Parramatta,2150,Townhouse,3,3,1,373.0,247.0,1974,2024-03-08,26.1,Contemporary design throughout,1074000,https://www.domain.com.au/example-parramatta-022
Parramatta,2150,Townhouse,3,3,0,421.0,187.0,2016,2024-01-28,25.6,Rare offering in tightly held street,1364000,https://www.domain.com.au/example-parramatta-023
Parramatta,2150,House,3,2,2,490.0,118.0,1989,2024-12-12,24.1,Freshly painted and move-in ready,1434000,https://www.domain.com.au/example-parramatta-024
Parramatta,2150,House,5,4,1,465.0,161.0,2001,2024-09-06,25.4,Renovated kitchen and bathrooms,1519000,https://www.domain.com.au/example-parramatta-025
Parramatta,2150,House,3,3,1,390.0,186.0,1993,2023-09-14,25.8,"Premium location, walk to transport",1256000,https://www.domain.com.au/example-parramatta-026
Parramatta,2150,Townhouse,4,4,0,520.0,165.0,2008,2024-01-23,24.4,"Quiet street, close to schools",1482000,https://www.domain.com.au/example-parramatta-027
Parramatta,2150,Townhouse,4,3,0,501.0,178.0,2015,2023-07-16,24.3,"North-facing aspect, excellent light",1350000,https://www.domain.com.au/example-parramatta-028
Parramatta,2150,House,2,2,0,637.0,108.0,1973,2023-02-26,24.3,Spacious living with natural light,1282000,https://www.domain.com.au/example-parramatta-029
Parramatta,2150,House,2,1,2,631.0,228.0,1970,2023-10-31,23.6,Charming character home,1194000,https://www.domain.com.au/example-parramatta-030
Parramatta,2150,House,4,4,1,698.0,216.0,2016,2023-11-07,25.8,Spacious living with natural light,1628000,https://www.domain.com.au/example-parramatta-031
Parramatta,2150,House,5,4,1,384.0,179.0,1970,2023-12-08,23.7,Freshly painted and move-in ready,1553000,https://www.domain.com.au/example-parramatta-032
Parramatta,2150,Unit,5,4,0,199.0,121.0,2011,2024-01-03,24.6,Contemporary design throughout,1240000,https://www.domain.com.au/example-parramatta-033
Parramatta,2150,Townhouse,2,2,1,360.0,127.0,1992,2023-06-28,23.2,Architect designed with quality fixtures,896000,https://www.domain.com.au/example-parramatta-034
Parramatta,2150,House,2,2,2,497.0,113.0,1998,2023-07-16,26.4,Renovated kitchen and bathrooms,1264000,https://www.domain.com.au/example-parramatta-035
Parramatta,2150,Townhouse,3,2,2,323.0,155.0,2007,2024-06-27,24.4,"Premium location, walk to transport",1166000,https://www.domain.com.au/example-parramatta-036
Parramatta,2150,House,4,3,2,502.0,236.0,2011,2023-08-11,26.4,"Premium location, walk to transport",1416000,https://www.domain.com.au/example-parramatta-037
Parramatta,2150,House,5,4,1,459.0,238.0,1975,2024-04-04,23.7,"Quiet street, close to schools",1636000,https://www.domain.com.au/example-parramatta-038
Parramatta,2150,House,3,3,1,479.0,146.0,2015,2023-04-15,23.0,"Premium location, walk to transport",1494000,https://www.domain.com.au/example-parramatta-039
Parramatta,2150,Townhouse,4,3,2,548.0,172.0,2018,2024-12-20,26.6,"North-facing aspect, excellent light",1225000,https://www.domain.com.au/example-parramatta-040
Penrith,2750,Unit,4,3,1,94.0,235.0,2019,2024-08-14,54.4,Contemporary design throughout,744000,https://www.domain.com.au/example-penrith-001
Penrith,2750,Unit,2,1,0,168.0,237.0,1996,2024-04-10,51.0,Charming character home,452000,https://www.domain.com.au/example-penrith-002
Penrith,2750,Townhouse,5,5,2,632.0,276.0,2024,2023-06-26,56.3,Contemporary design throughout,1532000,https://www.domain.com.au/example-penrith-003
Penrith,2750,House,4,3,0,811.0,116.0,2021,2023-02-10,50.4,Charming character home,1567000,https://www.domain.com.au/example-penrith-004
Penrith,2750,House,5,4,1,833.0,236.0,2015,2023-10-15,50.4,"Distressed sale, priced to move",1737000,https://www.domain.com.au/example-penrith-005
Penrith,2750,House,2,1,1,657.0,225.0,1985,2024-01-23,53.2,Stunning renovation with modern finishes,1030000,https://www.domain.com.au/example-penrith-006
Penrith,2750,House,3,3,1,574.0,255.0,2019,2024-10-21,54.7,Spacious living with natural light,1243000,https://www.domain.com.au/example-penrith-007
Penrith,2750,House,4,3,2,442.0,168.0,1992,2023-11-25,56.5,Rare offering in tightly held street,1264000,https://www.domain.com.au/example-penrith-008
Penrith,2750,House,5,5,1,687.0,280.0,1990,2024-09-17,54.8,Rare offering in tightly held street,1562000,https://www.domain.com.au/example-penrith-009
Penrith,2750,Unit,2,2,1,124.0,121.0,1990,2023-09-14,50.1,Renovated kitchen and bathrooms,476000,https://www.domain.com.au/example-penrith-010
Penrith,2750,House,5,5,1,880.0,238.0,2001,2024-01-03,52.3,"Premium location, walk to transport",1785000,https://www.domain.com.au/example-penrith-011
Penrith,2750,House,4,4,2,665.0,236.0,2021,2023-06-07,55.2,"Premium location, walk to transport",1440000,https://www.domain.com.au/example-penrith-012
Penrith,2750,House,3,3,0,837.0,158.0,1991,2023-02-14,56.3,"Premium location, walk to transport",1370000,https://www.domain.com.au/example-penrith-013
Penrith,2750,House,5,5,2,737.0,248.0,2024,2024-05-05,56.3,Architect designed with quality fixtures,1657000,https://www.domain.com.au/example-penrith-014
Penrith,2750,House,3,3,1,878.0,197.0,2011,2024-11-14,50.3,Contemporary design throughout,1418000,https://www.domain.com.au/example-penrith-015
Penrith,2750,House,3,3,0,433.0,187.0,1994,2023-07-12,52.5,"As-is, investor special",1069000,https://www.domain.com.au/example-penrith-016
Penrith,2750,House,4,4,2,749.0,145.0,1987,2024-12-15,53.2,Spacious living with natural light,1515000,https://www.domain.com.au/example-penrith-017
Penrith,2750,House,3,3,1,401.0,196.0,2019,2023-07-20,52.7,"As-is, investor special",1181000,https://www.domain.com.au/example-penrith-018
Penrith,2750,Townhouse,3,2,1,561.0,151.0,1995,2024-10-30,55.5,"As-is, investor special",1109000,https://www.domain.com.au/example-penrith-019
Penrith,2750,House,2,1,1,630.0,231.0,1986,2023-05-20,50.4,Freshly painted and move-in ready,1061000,https://www.domain.com.au/example-penrith-020
Penrith,2750,Unit,2,2,2,84.0,129.0,1992,2024-05-31,51.9,"Quiet street, close to schools",568000,https://www.domain.com.au/example-penrith-021
Penrith,2750,House,4,3,1,827.0,215.0,1985,2023-12-01,56.2,Freshly painted and move-in ready,1395000,https://www.domain.com.au/example-penrith-022
Penrith,2750,House,2,1,1,702.0,277.0,2003,2023-02-28,56.5,Charming character home,1166000,https://www.domain.com.au/example-penrith-023
Penrith,2750,Townhouse,2,1,0,607.0,164.0,1993,2024-08-24,50.2,"Original condition, great potential",866000,https://www.domain.com.au/example-penrith-024
Penrith,2750,House,4,4,1,754.0,236.0,2014,2024-08-26,57.1,Spacious living with natural light,1602000,https://www.domain.com.au/example-penrith-025
Penrith,2750,House,5,5,2,486.0,196.0,2012,2023-03-30,50.0,Solid brick construction,1505000,https://www.domain.com.au/example-penrith-026
Penrith,2750,Unit,4,3,1,188.0,260.0,1990,2023-10-31,55.0,"Premium location, walk to transport",703000,https://www.domain.com.au/example-penrith-027
Penrith,2750,House,3,2,0,732.0,252.0,1996,2023-05-19,54.8,Stunning renovation with modern finishes,1348000,https://www.domain.com.au/example-penrith-028
Penrith,2750,Townhouse,5,5,1,677.0,177.0,2009,2024-07-03,55.8,Rare offering in tightly held street,1517000,https://www.domain.com.au/example-penrith-029
Penrith,2750,Townhouse,4,3,0,657.0,112.0,2001,2023-01-26,54.2,"North-facing aspect, excellent light",1224000,https://www.domain.com.au/example-penrith-030
Penrith,2750,House,5,4,1,741.0,135.0,2000,2023-09-20,51.4,Solid brick construction,1724000,https://www.domain.com.au/example-penrith-031
Penrith,2750,Townhouse,5,4,0,635.0,235.0,1993,2024-04-16,53.0,Architect designed with quality fixtures,1351000,https://www.domain.com.au/example-penrith-032
Penrith,2750,Townhouse,4,3,1,685.0,128.0,2016,2024-07-23,56.9,Architect designed with quality fixtures,1234000,https://www.domain.com.au/example-penrith-033
Penrith,2750,House,2,2,1,412.0,276.0,2014,2024-12-23,55.8,Charming character home,940000,https://www.domain.com.au/example-penrith-034
Penrith,2750,House,4,4,1,690.0,180.0,2009,2023-01-08,57.5,"Quiet street, close to schools",1406000,https://www.domain.com.au/example-penrith-035
Penrith,2750,House,3,3,1,466.0,138.0,2000,2023-08-13,52.7,Rare offering in tightly held street,1174000,https://www.domain.com.au/example-penrith-036
Penrith,2750,House,2,2,1,841.0,157.0,2015,2023-12-16,51.5,Renovated kitchen and bathrooms,1358000,https://www.domain.com.au/example-penrith-037
Penrith,2750,House,3,3,0,641.0,273.0,1986,2023-06-28,54.0,"Quiet street, close to schools",1097000,https://www.domain.com.au/example-penrith-038
Penrith,2750,House,2,2,0,838.0,263.0,2015,2023-03-18,57.9,Solid brick construction,1221000,https://www.domain.com.au/example-penrith-039
Penrith,2750,House,3,3,2,676.0,126.0,1997,2024-08-19,54.9,"Distressed sale, priced to move",1241000,https://www.domain.com.au/example-penrith-040
